cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,harvard_oxford,juelich
    1,   34,   18,   -4,3.71902, 8848,37.88% Insula_R; 20.07% no_label; 17.63% Putamen_R; 13.65% Frontal_Inf_Orb_2_R; 6.24% Frontal_Inf_Tri_R,35.90% Right_Insular_Cortex; 27.03% Right_Frontal_Orbital_Cortex; 16.82% Right_Putamen; 8.41% Right_Frontal_Operculum_Cortex; 5.42% Right_Inferior_Frontal_Gyrus_pars_triangularis,56.96% no_label; 25.86% WM_Inferior_occipito-frontal_fascicle_R; 11.93% GM_Broca's_area_BA45_R
    2,   46,    6,   36,3.71902, 7976,39.92% Precentral_R; 25.88% Frontal_Inf_Oper_R; 19.06% Frontal_Mid_2_R; 8.43% Frontal_Inf_Tri_R; 5.92% Frontal_Sup_2_R,38.82% Right_Middle_Frontal_Gyrus; 34.50% Right_Precentral_Gyrus; 23.47% Right_Inferior_Frontal_Gyrus_pars_opercularis,49.45% GM_Broca's_area_BA44_R; 37.01% GM_Premotor_cortex_BA6_R; 7.02% no_label; 5.82% GM_Broca's_area_BA45_R
    3,   42,  -62,  -10,3.71902, 4992,39.42% Temporal_Inf_R; 36.06% Fusiform_R; 12.98% Occipital_Inf_R; 7.69% Temporal_Mid_R,32.53% Right_Lateral_Occipital_Cortex_inferior_division; 30.77% Right_Temporal_Occipital_Fusiform_Cortex; 19.07% Right_Occipital_Fusiform_Gyrus; 17.63% Right_Inferior_Temporal_Gyrus_temporooccipital_part,49.68% no_label; 25.96% GM_Visual_cortex_V5_R; 19.55% GM_Visual_cortex_V4_R
    4,  -40,  -70,   -8,3.71902, 4696,34.41% Fusiform_L; 30.49% Occipital_Mid_L; 27.77% Occipital_Inf_L,51.79% Left_Lateral_Occipital_Cortex_inferior_division; 26.41% Left_Temporal_Occipital_Fusiform_Cortex; 17.38% Left_Occipital_Fusiform_Gyrus,38.16% GM_Visual_cortex_V5_L; 37.82% no_label; 16.01% GM_Visual_cortex_V4_L; 8.01% WM_Optic_radiation_L
    5,  -32,   18,   -2,3.71902, 4584,74.17% Insula_L; 9.77% Frontal_Inf_Tri_L; 8.38% no_label; 7.33% Frontal_Inf_Orb_2_L,60.73% Left_Insular_Cortex; 18.32% Left_Frontal_Operculum_Cortex; 17.63% Left_Frontal_Orbital_Cortex,71.73% no_label; 15.18% GM_Broca's_area_BA44_L; 8.03% WM_Inferior_occipito-frontal_fascicle_L; 5.06% GM_Broca's_area_BA45_L
    6,    8,   14,   54,3.71902, 3832,57.83% Supp_Motor_Area_R; 29.02% Supp_Motor_Area_L; 9.81% Frontal_Sup_2_R,57.41% Right_Superior_Frontal_Gyrus; 15.45% Right_Paracingulate_Gyrus; 13.99% Left_Superior_Frontal_Gyrus; 11.90% Left_Paracingulate_Gyrus,78.50% GM_Premotor_cortex_BA6_R; 19.21% GM_Premotor_cortex_BA6_L
    7,   58,  -44,    8,3.71902, 2488,64.31% Temporal_Mid_R; 35.69% Temporal_Sup_R,57.23% Right_Middle_Temporal_Gyrus_temporooccipital_part; 34.08% Right_Supramarginal_Gyrus_posterior_division; 8.36% Right_Angular_Gyrus,38.26% GM_Inferior_parietal_lobule_Pga_R; 32.80% no_label; 27.65% GM_Inferior_parietal_lobule_PFm_R
    8,   34,  -60,   46,3.71902, 2160,28.52% Angular_R; 27.78% Parietal_Inf_R; 24.07% Parietal_Sup_R; 16.30% Occipital_Sup_R,59.63% Right_Lateral_Occipital_Cortex_superior_division; 32.22% Right_Superior_Parietal_Lobule; 8.15% Right_Angular_Gyrus,46.67% GM_Anterior_intra-parietal_sulcus_hIP3_R; 22.59% GM_Superior_parietal_lobule_7A_R; 11.48% GM_Superior_parietal_lobule_7P_R; 10.37% GM_Anterior_intra-parietal_sulcus_hIP1_R; 5.56% GM_Inferior_parietal_lobule_PGp_R
    9,   62,  -42,   26,3.71902, 1816,76.65% SupraMarginal_R; 23.35% Temporal_Sup_R,81.50% Right_Supramarginal_Gyrus_posterior_division; 14.98% Right_Angular_Gyrus,55.07% GM_Inferior_parietal_lobule_PFm_R; 43.61% GM_Inferior_parietal_lobule_PF_R
   10,  -30,  -90,    4,3.71902, 1528,98.95% Occipital_Mid_L,45.03% Left_Lateral_Occipital_Cortex_inferior_division; 40.31% Left_Occipital_Pole; 14.66% Left_Lateral_Occipital_Cortex_superior_division,45.55% GM_Visual_cortex_V3V_L; 16.23% no_label; 15.71% GM_Visual_cortex_V2_BA18_L; 13.09% GM_Visual_cortex_V4_L; 9.42% WM_Optic_radiation_L
