cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,aal,harvard_oxford,juelich
    1,   38,   20,   -4,3.71902, 6624,Insula_R,65.0% Right_Insular_Cortex; 15.0% Right_Frontal_Orbital_Cortex,0% no_label
    2,    8,   16,   50,3.71902, 5744,Supp_Motor_Area_R,30.0% Right_Paracingulate_Gyrus; 21.0% Right_Superior_Frontal_Gyrus,30.0% GM_Premotor_cortex_BA6_R
    3,   48,   10,   30,3.71902, 5416,Precentral_R,32.0% Right_Precentral_Gyrus; 21.0% Right_Inferior_Frontal_Gyrus_pars_opercularis; 16.0% Right_Middle_Frontal_Gyrus,40.0% GM_Broca's_area_BA44_R
    4,  -34,   18,   -2,3.71902, 4912,Insula_L,65.0% Left_Insular_Cortex,0% no_label
    5,   38,  -60,  -12,    0, 3728,Fusiform_R,24.0% Right_Temporal_Occipital_Fusiform_Cortex; 14.0% Right_Occipital_Fusiform_Gyrus,8.0% GM_Visual_cortex_V4_R
    6,   60,  -44,   14,3.71902, 3720,Temporal_Sup_R,33.0% Right_Supramarginal_Gyrus_posterior_division; 28.0% Right_Angular_Gyrus; 17.0% Right_Middle_Temporal_Gyrus_temporooccipital_part,20.0% GM_Inferior_parietal_lobule_PFm_R; 19.0% GM_Inferior_parietal_lobule_Pga_R
    7,  -36,  -64,  -12,3.71902, 2800,Fusiform_L,17.0% Left_Temporal_Occipital_Fusiform_Cortex; 13.0% Left_Occipital_Fusiform_Gyrus,0% no_label
    8,  -60,  -46,   32,3.71902, 2056,SupraMarginal_L,58.0% Left_Supramarginal_Gyrus_posterior_division; 18.0% Left_Angular_Gyrus; 6.0% Left_Supramarginal_Gyrus_anterior_division,54.0% GM_Inferior_parietal_lobule_PF_L; 42.0% GM_Inferior_parietal_lobule_PFm_L; 10.0% GM_Inferior_parietal_lobule_Pga_L
    9,    2,  -22,   -4,2.57583, 1064,no_label,0% no_label,0% no_label
   10,   50,  -22,   -4,2.48377, 1040,Temporal_Sup_R,33.0% Right_Superior_Temporal_Gyrus_posterior_division; 20.0% Right_Middle_Temporal_Gyrus_posterior_division,0% no_label
   11,   34,  -88,    0,2.44713, 1024,Occipital_Mid_R,38.0% Right_Lateral_Occipital_Cortex_inferior_division; 16.0% Right_Occipital_Pole,10.0% GM_Visual_cortex_V4_R; 9.0% GM_Visual_cortex_V3V_R
   12,  -30,  -92,    6,2.42283, 1016,Occipital_Mid_L,41.0% Left_Occipital_Pole; 23.0% Left_Lateral_Occipital_Cortex_inferior_division,9.0% GM_Visual_cortex_V2_BA18_L
   13,  -54,  -58,    8,2.34162,  976,Temporal_Mid_L,46.0% Left_Middle_Temporal_Gyrus_temporooccipital_part; 16.0% Left_Lateral_Occipital_Cortex_inferior_division; 14.0% Left_Angular_Gyrus,9.0% GM_Inferior_parietal_lobule_PGp_L
   14,   14,    8,    0,2.31524,  960,Pallidum_R,34.0% Right_Pallidum,0% no_label
