cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,harvard_oxford,juelich
    1,   36,   18,   -4,3.71902, 9976,36.89% Insula_R; 21.17% no_label; 15.16% Putamen_R; 14.92% Frontal_Inf_Orb_2_R; 8.02% Frontal_Inf_Tri_R,34.00% Right_Insular_Cortex; 29.75% Right_Frontal_Orbital_Cortex; 14.43% Right_Putamen; 10.10% Right_Frontal_Operculum_Cortex; 6.01% Right_Inferior_Frontal_Gyrus_pars_triangularis,52.77% no_label; 25.90% WM_Inferior_occipito-frontal_fascicle_R; 15.16% GM_Broca's_area_BA45_R
    2,   50,  -50,   30,3.71902, 9416,25.66% SupraMarginal_R; 17.76% Temporal_Mid_R; 17.16% Temporal_Sup_R; 14.95% Parietal_Inf_R; 9.52% Angular_R; 6.80% Parietal_Sup_R,43.50% Right_Supramarginal_Gyrus_posterior_division; 20.56% Right_Lateral_Occipital_Cortex_superior_division; 15.38% Right_Middle_Temporal_Gyrus_temporooccipital_part; 11.64% Right_Angular_Gyrus; 8.16% Right_Superior_Parietal_Lobule,30.25% GM_Inferior_parietal_lobule_PFm_R; 14.02% GM_Inferior_parietal_lobule_Pga_R; 12.91% GM_Inferior_parietal_lobule_PF_R; 12.74% GM_Anterior_intra-parietal_sulcus_hIP3_R; 9.94% no_label; 7.65% GM_Superior_parietal_lobule_7A_R; 6.88% GM_Anterior_intra-parietal_sulcus_hIP1_R
    3,   46,    8,   36,3.71902, 8704,36.86% Precentral_R; 27.11% Frontal_Inf_Oper_R; 19.58% Frontal_Mid_2_R; 9.74% Frontal_Inf_Tri_R,41.54% Right_Middle_Frontal_Gyrus; 29.96% Right_Precentral_Gyrus; 24.63% Right_Inferior_Frontal_Gyrus_pars_opercularis,47.15% GM_Broca's_area_BA44_R; 35.48% GM_Premotor_cortex_BA6_R; 9.56% GM_Broca's_area_BA45_R; 6.71% no_label
    4,  -32,   18,   -2,3.71902, 5600,67.14% Insula_L; 12.71% Frontal_Inf_Tri_L; 9.86% no_label; 9.00% Frontal_Inf_Orb_2_L,53.00% Left_Insular_Cortex; 21.43% Left_Frontal_Orbital_Cortex; 19.57% Left_Frontal_Operculum_Cortex,70.29% no_label; 14.29% GM_Broca's_area_BA44_L; 8.71% WM_Inferior_occipito-frontal_fascicle_L; 6.71% GM_Broca's_area_BA45_L
    5,   42,  -62,  -10,3.71902, 4360,41.10% Temporal_Inf_R; 34.13% Fusiform_R; 13.03% Occipital_Inf_R; 8.07% Temporal_Mid_R,32.11% Right_Lateral_Occipital_Cortex_inferior_division; 30.83% Right_Temporal_Occipital_Fusiform_Cortex; 18.72% Right_Inferior_Temporal_Gyrus_temporooccipital_part; 18.35% Right_Occipital_Fusiform_Gyrus,50.83% no_label; 26.61% GM_Visual_cortex_V5_R; 17.80% GM_Visual_cortex_V4_R
    6,  -40,  -70,   -8,3.71902, 4120,34.56% Fusiform_L; 32.82% Occipital_Mid_L; 26.02% Occipital_Inf_L,52.82% Left_Lateral_Occipital_Cortex_inferior_division; 26.99% Left_Temporal_Occipital_Fusiform_Cortex; 15.92% Left_Occipital_Fusiform_Gyrus,39.61% GM_Visual_cortex_V5_L; 37.48% no_label; 14.37% GM_Visual_cortex_V4_L; 8.54% WM_Optic_radiation_L
    7,    6,   14,   54,3.71902, 3568,56.73% Supp_Motor_Area_R; 32.06% Supp_Motor_Area_L; 8.07% Frontal_Sup_2_R,55.16% Right_Superior_Frontal_Gyrus; 15.70% Right_Paracingulate_Gyrus; 14.80% Left_Superior_Frontal_Gyrus; 13.45% Left_Paracingulate_Gyrus,77.35% GM_Premotor_cortex_BA6_R; 20.40% GM_Premotor_cortex_BA6_L
    8,  -60,  -48,   34,3.71902, 1720,44.19% SupraMarginal_L; 33.49% no_label; 20.47% Parietal_Inf_L,88.84% Left_Supramarginal_Gyrus_posterior_division; 9.30% Left_Angular_Gyrus,56.74% GM_Inferior_parietal_lobule_PF_L; 22.79% GM_Inferior_parietal_lobule_PFm_L; 20.47% no_label
    9,   50,  -24,   -6,3.35279, 1488,61.83% Temporal_Sup_R; 21.51% Temporal_Mid_R; 16.67% no_label,50.00% Right_Superior_Temporal_Gyrus_posterior_division; 48.39% Right_Middle_Temporal_Gyrus_posterior_division,50.54% GM_Insula_Id1_R; 30.65% no_label; 9.14% WM_Acoustic_radiation_R; 8.06% WM_Optic_radiation_R
   10,  -30,  -90,    6,3.15591, 1472,100.00% Occipital_Mid_L,43.48% Left_Occipital_Pole; 40.22% Left_Lateral_Occipital_Cortex_inferior_division; 16.30% Left_Lateral_Occipital_Cortex_superior_division,48.37% GM_Visual_cortex_V3V_L; 17.93% no_label; 17.39% GM_Visual_cortex_V2_BA18_L; 9.24% WM_Optic_radiation_L; 7.07% GM_Visual_cortex_V4_L
   11,  -40,   -2,   42,2.63555, 1152,99.31% Precentral_L,93.06% Left_Precentral_Gyrus; 6.94% Left_Middle_Frontal_Gyrus,71.53% GM_Premotor_cortex_BA6_L; 15.97% no_label; 9.03% WM_Corticospinal_tract_L
   12,   36,  -88,    2,2.55562, 1112,94.96% Occipital_Mid_R; 5.04% Occipital_Inf_R,64.75% Right_Lateral_Occipital_Cortex_inferior_division; 33.81% Right_Occipital_Pole,39.57% no_label; 34.53% GM_Visual_cortex_V4_R; 17.99% GM_Visual_cortex_V3V_R; 7.91% WM_Optic_radiation_R
   13,   34,   40,   24,2.38671, 1032,86.82% Frontal_Mid_2_R; 13.18% Frontal_Sup_2_R,98.45% Right_Frontal_Pole,100.00% no_label
   14,    8,   22,   34,1.69015,  776,97.94% Cingulate_Mid_R,78.35% Right_Paracingulate_Gyrus; 21.65% Right_Cingulate_Gyrus_anterior_division,75.26% no_label; 14.43% WM_Cingulum_R; 10.31% GM_Premotor_cortex_BA6_R
   15,  -54,  -60,    8,1.66456,  768,98.96% Temporal_Mid_L,71.88% Left_Middle_Temporal_Gyrus_temporooccipital_part; 17.71% Left_Lateral_Occipital_Cortex_inferior_division,46.88% GM_Inferior_parietal_lobule_PGp_L; 33.33% no_label; 14.58% GM_Inferior_parietal_lobule_Pga_L
